"gene","Top","p.value","FDR","summary.logFC","logFC.Sham","nmf10"
"PKP2",1052,7.7678129550724e-48,5.57923903883339e-47,-1.05653207445561,-1.05653207445561,0.000142808001980578
"VPS53",1053,8.80425763992309e-48,6.31766103772636e-47,-1.36067976269143,-1.36067976269143,8.96856120286821e-05
"CCDC171",1054,1.00938773459922e-47,7.23618000249688e-47,-1.53118526942278,-1.53118526942278,0.00014818054847897
"NOVA2",1055,1.19875817542043e-47,8.5856083160917e-47,-0.986799072733004,-0.986799072733004,0.000140540820679439
"PPP4R2",1056,1.20393879966042e-47,8.61454694150967e-47,0.760983325303247,0.760983325303247,2.44917878969572e-05
"ARHGEF10L",1057,1.20798236659169e-47,8.63530251841707e-47,-1.70434224206272,-1.70434224206272,1.97792618710711e-05
"MTMR7",1058,1.33134315055751e-47,9.50815580870754e-47,-1.54473295090393,-1.54473295090393,0.000314565031386406
"CATSPERE",1059,1.34344314033166e-47,9.58551120712568e-47,-1.40763194562408,-1.40763194562408,3.45728001096534e-05
"TMEM91",1060,1.58580977220408e-47,1.13041307912963e-46,-2.69371634952613,-2.69371634952613,2.4139318846555e-05
"TMTC4",1061,1.64946625586362e-47,1.17468115262068e-46,-2.57808169839421,-2.57808169839421,0.000143051227902174
"EHMT1",1062,1.69857764301809e-47,1.20851720062568e-46,-0.837837348689715,-0.837837348689715,9.92464997700508e-05
"ZNF563",1063,1.9293927008872e-47,1.37144790667015e-46,-2.07274429530279,-2.07274429530279,9.78099333282472e-06
"MALT1",1064,2.3677439218838e-47,1.68145423625507e-46,-1.82998516784923,-1.82998516784923,0.000161330371751248
"INSIG2",1065,2.51815789088206e-47,1.78659164539952e-46,-1.2085004315636,-1.2085004315636,4.62796683210643e-05
"HEATR5B",1066,3.02883456180601e-47,2.14689249052592e-46,-1.62004508670197,-1.62004508670197,6.96121348182846e-05
"ZNF423",1067,3.09195122989878e-47,2.18957670975776e-46,-2.52140457589925,-2.52140457589925,5.69393066732795e-05
"QSER1",1068,3.19259423827227e-47,2.25873053037314e-46,-1.45833478301062,-1.45833478301062,5.99249243255289e-05
"RSRC1",1069,3.49500443400074e-47,2.47036983192795e-46,-0.874425157604245,-0.874425157604245,6.48054075382215e-05
"FRY",1070,3.5145707609293e-47,2.48187819341885e-46,-0.700796524204119,-0.700796524204119,0.000449915116530939
"GRK3",1071,3.58494852428451e-47,2.52921298314601e-46,-1.55142217975978,-1.55142217975978,0.000535644204940859
"WDR35",1072,4.00492270839516e-47,2.82287275976061e-46,-1.74585207600787,-1.74585207600787,0.000108673395224871
"CDADC1",1073,4.0471539719605e-47,2.84998093309727e-46,-1.32360153446393,-1.32360153446393,3.70050639763909e-05
"PLGRKT",1074,4.1200545521515e-47,2.89861566071292e-46,-2.44091858087369,-2.44091858087369,2.38967172932059e-05
"IFT46",1075,4.46676802595654e-47,3.1396185306165e-46,-2.12765104858059,-2.12765104858059,1.95366136594498e-05
"ICA1",1076,4.94046062045502e-47,3.46934204908531e-46,-0.767098768658814,-0.767098768658814,0.000368005790560244
"XRN1",1077,5.04671351585414e-47,3.54066548986018e-46,-0.888319047049657,-0.888319047049657,0.000125955637111354
"DVL3",1078,5.76392823766431e-47,4.03635234140793e-46,-2.07313473413877,-2.07313473413877,2.1071074893762e-05
"MPP3",1079,5.76392823766431e-47,4.03635234140793e-46,-2.07313473413877,-2.07313473413877,4.10801694676997e-05
"SYT11",1080,7.00742653790096e-47,4.90260323336851e-46,-0.847362385722292,-0.847362385722292,7.69208361742846e-05
"GPR173",1081,7.39953116508391e-47,5.17214222787916e-46,-2.72297220476991,-2.72297220476991,6.40355760364489e-05
"C19orf44",1082,1.03508051713682e-46,7.22834416588338e-46,-1.54519110976012,-1.54519110976012,1.45426504775062e-05
"NR2F1",1083,1.21089891380893e-46,8.44833997482948e-46,-1.68564602999477,-1.68564602999477,7.78286964498796e-05
"HFM1",1084,1.40155539899985e-46,9.76951346387711e-46,-1.82909736813151,-1.82909736813151,4.67420337626331e-05
"SLC31A1",1085,1.78748016778738e-46,1.2448110735301e-45,1.28853449064391,1.28853449064391,6.45124504853266e-06
"CBY1",1086,1.88994711614707e-46,1.31495768044266e-45,-1.8326401008689,-1.8326401008689,2.99451509534717e-05
"GLCE",1087,2.19676880724225e-46,1.52702714880611e-45,0.781748126578816,0.781748126578816,0.000247012758464021
"ACAD8",1088,2.46540760491925e-46,1.71218932562224e-45,-2.34316650900278,-2.34316650900278,1.62874024447657e-06
"THRB",1089,2.66795220944094e-46,1.85115214825858e-45,-1.02017282103642,-1.02017282103642,0.000146087560197777
"TRPM7",1090,2.88520765797445e-46,2.00005771226193e-45,-0.782441749491729,-0.782441749491729,9.42434740560984e-05
"WWP1",1091,2.9615294026452e-46,2.05108305833064e-45,-1.17655982275245,-1.17655982275245,0.000132403855326655
"RIF1",1092,3.16676329401113e-46,2.19121460160698e-45,-1.42310573357142,-1.42310573357142,0.000107628531578365
"SCAPER",1093,3.39730286215804e-46,2.34858375356506e-45,-0.823520014769572,-0.823520014769572,0.000295726956070973
"MMP24",1094,3.91297545071517e-46,2.70259986340071e-45,-1.15497708331196,-1.15497708331196,0.000103047300170489
"RALGDS",1095,4.07690438767136e-46,2.81325018751093e-45,-2.3792951194021,-2.3792951194021,6.1537904256372e-05
"POLR3A",1096,4.18030908408102e-46,2.88197221161644e-45,-1.1991168670086,-1.1991168670086,2.52560441677281e-05
"KBTBD3",1097,4.20215786724066e-46,2.89439424292346e-45,-2.20938904228306,-2.20938904228306,3.41593484931269e-05
"LONRF2",1098,4.64565381616591e-46,3.19695448405736e-45,-1.26200707915839,-1.26200707915839,0.000240503116883394
"MIPOL1",1099,5.24031647970536e-46,3.60289638950441e-45,-2.1764617038834,-2.1764617038834,0.0002170025209935
"TMEM67",1100,6.6554326074726e-46,4.57167716200574e-45,-2.3096180719018,-2.3096180719018,0.000158822622170133
"PPFIA4",1101,7.02691218166654e-46,4.82246579878948e-45,-2.01433848699678,-2.01433848699678,0.000112777142362473
"RPAP1",1102,7.17762288921363e-46,4.92142636578021e-45,-2.54593999399368,-2.54593999399368,3.04840089678006e-06
"PIGF",1103,7.837290642522e-46,5.36886383453273e-45,1.59629885255047,1.59629885255047,2.01136142159849e-05
"RUFY2",1104,9.85717720992734e-46,6.74645208317125e-45,-1.05751163104637,-1.05751163104637,4.01292485763259e-05
"KCNK10",1105,1.00715283276469e-45,6.88692018495018e-45,-0.984823132398516,-0.984823132398516,0.000228150253981561
"NT5DC3",1106,1.17552210562207e-45,8.03096295667298e-45,1.65429963909985,1.65429963909985,0.000149057572045926
"FAM228B",1107,1.36797858802453e-45,9.3373497842036e-45,-1.57221255231887,-1.57221255231887,2.70444674791866e-05
"KIF13B",1108,1.45910421362574e-45,9.95035328353437e-45,-1.24171641597713,-1.24171641597713,7.50193725696319e-05
"MBTPS2",1109,1.94007909863324e-45,1.32184289172883e-44,-1.1510720044671,-1.1510720044671,2.90552020436256e-05
"ELMOD3",1110,2.44711115048725e-45,1.66579926604339e-44,-2.75999401713061,-2.75999401713061,2.50018247349584e-05
"LRRC57",1111,2.66673959499358e-45,1.81367096127556e-44,-1.57496928363567,-1.57496928363567,6.99870148758345e-05
"SPIDR",1112,3.16603806245389e-45,2.1513114748113e-44,-1.59870466064453,-1.59870466064453,0.000423324573367368
"MFSD8",1113,3.38975630698165e-45,2.30125774084038e-44,-1.53063239088907,-1.53063239088907,4.85774176439757e-05
"DOCK11",1114,3.46324602277996e-45,2.34903832568451e-44,-1.00037526766404,-1.00037526766404,0.000261315708430395
"CCDC85A",1115,3.47188111814667e-45,2.35278329405525e-44,-0.676683947799769,-0.676683947799769,0.0011173122767987
"PMS2",1116,4.29654038112043e-45,2.90901963438585e-44,-1.64246195736572,-1.64246195736572,3.87488736201202e-05
"PCBP3",1117,4.55134449672893e-45,3.07877878400033e-44,0.74007479066709,0.74007479066709,0.000161200837025103
"AP3M2",1118,5.60898008923556e-45,3.79082768821683e-44,-1.99897739999737,-1.99897739999737,1.27284778060229e-06
"KAT2B",1119,5.73317187261849e-45,3.8678434526344e-44,-3.14454252249061,-3.14454252249061,0.000118498975877942
"JAG1",1120,5.73317187261849e-45,3.8678434526344e-44,-3.14454252249061,-3.14454252249061,0.000248220375623077
"ALDH5A1",1121,5.74920736350298e-45,3.87520168051996e-44,-2.21033955676702,-2.21033955676702,6.16819489000136e-05
"TAOK3",1122,7.22669906552589e-45,4.86675027977837e-44,-1.02969520499517,-1.02969520499517,4.62195240591707e-05
"CNST",1123,7.49069863721925e-45,5.04004620684135e-44,-1.61937105454562,-1.61937105454562,3.2430516103626e-05
"DIRAS2",1124,7.78079162101257e-45,5.23057486551342e-44,-1.32854612484614,-1.32854612484614,4.13844026958647e-05
"GCDH",1125,8.73679266679138e-45,5.86801825691341e-44,-2.65867238273361,-2.65867238273361,2.37362516101681e-06
"NDUFAF7",1126,9.58431918899866e-45,6.43153781457141e-44,-1.15337149395907,-1.15337149395907,1.07184443357878e-05
"CSTF3",1127,1.01940297731786e-44,6.83461304047354e-44,-0.818508303152776,-0.818508303152776,0.000121750279802737
"LMF1",1128,1.03270776664212e-44,6.91767720279066e-44,-1.89509587109845,-1.89509587109845,1.87330784173408e-05
"GLUD1",1129,1.20307673871448e-44,8.05176956397405e-44,-1.29547888809309,-1.29547888809309,2.84215955466588e-05
"VPS39",1130,1.22349629975791e-44,8.18118410705373e-44,-1.90703682428425,-1.90703682428425,2.47161957196545e-05
"TET2",1131,1.29027224346637e-44,8.62006814467896e-44,0.809723429290395,0.809723429290395,0.000103085737580589
"NFIX",1132,1.39840667928106e-44,9.33424105004211e-44,-0.847429150194962,-0.847429150194962,0.000271590619324503
"SCP2",1133,1.53054541666994e-44,1.02072384539788e-43,-3.57888825581209,-3.57888825581209,5.02585094909103e-05
"SELENOO",1134,1.71480407661306e-44,1.14259784857922e-43,-1.95318833859439,-1.95318833859439,4.68051819724062e-05
"MLLT3",1135,1.86448346374391e-44,1.24123674467392e-43,-0.759963942644712,-0.759963942644712,0.00051781207399546
"FBN1",1136,1.9412797982352e-44,1.29122448551631e-43,-1.69619668198432,-1.69619668198432,0.000256790599077473
"MZF1",1137,2.10534234039949e-44,1.39911756588025e-43,-2.15763508106569,-2.15763508106569,2.06774553269374e-05
"PTPA",1138,2.24021592846353e-44,1.48744038273027e-43,-1.13683758494951,-1.13683758494951,2.62001161842482e-05
"OCRL",1139,2.38389852055175e-44,1.58145190704908e-43,-0.917697156608839,-0.917697156608839,7.1454636108773e-05
"SETDB1",1140,2.79008762056074e-44,1.84771306623792e-43,-0.994566356244052,-0.994566356244052,1.0757626659242e-05
"INTS2",1141,2.79015432580393e-44,1.84771306623792e-43,-1.62643509989491,-1.62643509989491,2.16916808338893e-05
"ZDHHC21",1142,2.83350781783488e-44,1.87477977859548e-43,-0.942001969314712,-0.942001969314712,5.78563037577657e-05
"ITFG1",1143,2.90388959442686e-44,1.91966664702443e-43,-1.00326440843374,-1.00326440843374,0.000184842642627551
"DPH7",1144,2.98194926601562e-44,1.96954621101521e-43,-1.47554895293486,-1.47554895293486,8.87111956252277e-06
"HSPA4L",1145,3.11246938505424e-44,2.05395796274847e-43,-1.77068034221397,-1.77068034221397,6.13900315969865e-05
"FAM184B",1146,3.24441467827245e-44,2.13916206885049e-43,-2.15418033746907,-2.15418033746907,0.00032620073565754
"MYSM1",1147,3.32562129559239e-44,2.19079289533533e-43,-0.825867589835766,-0.825867589835766,0.000187889767775459
"DCUN1D2",1148,3.58005136312127e-44,2.35634739544811e-43,-1.33845087897659,-1.33845087897659,3.69684808834762e-05
"SMAP2",1149,3.70612089508463e-44,2.43720186973537e-43,0.735702925627415,0.735702925627415,0.000150236619117111
"TDRKH",1150,3.8996836263635e-44,2.56226169398285e-43,-2.25191675515343,-2.25191675515343,3.19971412914686e-05
"PHKG2",1151,3.93803531002792e-44,2.58521240682634e-43,-1.85389645069623,-1.85389645069623,2.86922669032161e-07
"SLC2A8",1152,4.50850139392552e-44,2.95713858789073e-43,-2.35376835982874,-2.35376835982874,1.62476312437145e-05
"SLC30A7",1153,4.72015166228858e-44,3.09327545188658e-43,-1.8170520619663,-1.8170520619663,1.79945408905218e-07
"ELOVL6",1154,4.92748354131657e-44,3.22634884213068e-43,-1.33666889045846,-1.33666889045846,4.39361017401638e-06
"NHLRC2",1155,5.30827895098801e-44,3.47267149382385e-43,-1.28381500966528,-1.28381500966528,4.66065807576388e-05
"ZNF112",1156,5.82262074824341e-44,3.8058583368276e-43,-1.49189803683492,-1.49189803683492,3.24790306421747e-05
"RPAP2",1157,6.35905946656221e-44,4.15290002846537e-43,-2.18011770957786,-2.18011770957786,6.86749988674298e-05
"GTF2IRD2",1158,6.98267229550388e-44,4.55622382252392e-43,-1.81427014975711,-1.81427014975711,1.90129806824598e-05
"MAP3K5",1159,7.82627520942498e-44,5.10227225905219e-43,-1.06574913857391,-1.06574913857391,0.000896901736513596
"SERP2",1160,9.20534522119508e-44,5.99617142166809e-43,-1.3587897189855,-1.3587897189855,7.6710453179449e-05
"CREBL2",1161,9.67178465385844e-44,6.29457406068517e-43,-2.15566476656703,-2.15566476656703,2.45087284062484e-05
"CHD2",1162,1.20817353394519e-43,7.85624717942325e-43,-0.895059411402637,-0.895059411402637,7.95173385587963e-05
"QSOX2",1163,1.22392670771864e-43,7.95184024378515e-43,-2.03222364484472,-2.03222364484472,6.0922219722915e-05
"WASHC3",1164,1.26975360408176e-43,8.2424898904139e-43,-2.7718258722825,-2.7718258722825,3.26978257963433e-05
"EIPR1",1165,1.42806777948098e-43,9.26221471395566e-43,-1.09438201047338,-1.09438201047338,8.34655272104728e-05
"CEP112",1166,1.6018720554053e-43,1.03805705408598e-42,-0.813510053763162,-0.813510053763162,0.000828499724338886
"SCN3A",1167,2.12733084189988e-43,1.37738747569799e-42,-0.768925272750105,-0.768925272750105,0.000587014940096994
"CBX5",1168,2.24259658039348e-43,1.45077566450798e-42,-1.01178836916497,-1.01178836916497,0.000125289701828039
"SCG5",1169,2.40750459794404e-43,1.55612529872242e-42,-0.9188232322165,-0.9188232322165,0.000173320032850296
"JMY",1170,2.45526396470742e-43,1.58563884763498e-42,-1.74596381549964,-1.74596381549964,1.12494711843954e-05
"NRXN2",1171,2.55700867748318e-43,1.64993659838283e-42,0.7070812154524,0.7070812154524,8.66152002995453e-05
"ANKRD13D",1172,2.69854566720463e-43,1.7397791008019e-42,-1.76610316413611,-1.76610316413611,1.57278581398237e-06
"RAB36",1173,3.01925196708687e-43,1.94488217078502e-42,-1.51881174500201,-1.51881174500201,9.62780275322804e-06
"BRSK2",1174,3.13266074194519e-43,2.01621674328262e-42,-1.58034627643248,-1.58034627643248,8.37350713752559e-05
"HIPK2",1175,3.42791855742155e-43,2.20437043573422e-42,0.813493158557114,0.813493158557114,0.000206017471327603
"ALDH6A1",1176,3.88167785621882e-43,2.49404403755011e-42,-3.06381162359671,-3.06381162359671,3.47384189797125e-06
"ING4",1177,4.23317300146157e-43,2.71757478326626e-42,-1.2429382401605,-1.2429382401605,1.53876520008587e-05
"MYPOP",1178,4.45681824757205e-43,2.85871975200803e-42,-2.54311869571162,-2.54311869571162,1.2834682059916e-05
"FANCL",1179,4.83740961405113e-43,3.10020924883548e-42,-1.90012772205058,-1.90012772205058,0.00016284083317914
"AKAP7",1180,5.16269309223821e-43,3.30587364448743e-42,-1.11668118762948,-1.11668118762948,5.90483173120757e-05
"PDZRN4",1181,6.29616041847888e-43,4.02826317714023e-42,-1.09386170754431,-1.09386170754431,4.75998681759116e-05
"PPM1K",1182,6.49733549815361e-43,4.153457447043e-42,-2.26492544729138,-2.26492544729138,0.000172902245305648
"GMPR2",1183,6.77019186894627e-43,4.32422398662366e-42,-1.99407785330429,-1.99407785330429,4.58320757923833e-06
"ZC3H7A",1184,7.15876311859143e-43,4.56854849020917e-42,-0.84345302737287,-0.84345302737287,2.79945532183813e-05
"CNTN3",1185,8.48092458721912e-43,5.40775242033985e-42,0.703140287915735,0.703140287915735,0.000470218057910229
"LPCAT1",1186,9.72969124761602e-43,6.19878137158406e-42,-2.44803588284817,-2.44803588284817,3.46436639394976e-05
"KLHL32",1187,1.00388563909031e-42,6.39036216425142e-42,-0.79461199680096,-0.79461199680096,0.000661566675187483
"TBC1D10A",1188,1.06122644634824e-42,6.74968605101624e-42,1.56008186527035,1.56008186527035,3.81486331991857e-05
"LRRN1",1189,1.31919237023723e-42,8.38336211060765e-42,-1.05848940825963,-1.05848940825963,0.0004178097899791
"ATP9A",1190,1.62305734791262e-42,1.03057322023763e-41,-0.80998832878867,-0.80998832878867,0.000284380029981789
"KIAA1671",1191,1.77474013040795e-42,1.125939246462e-41,-1.38058549012978,-1.38058549012978,9.48551425207011e-05
"MTIF3",1192,1.807392873873e-42,1.14569299957922e-41,-1.8081347005612,-1.8081347005612,1.27154095148803e-05
"LTBP4",1193,1.82962769060149e-42,1.158815325246e-41,-1.69277466345956,-1.69277466345956,0.00010875382966853
"NEURL1B",1194,1.85937844523596e-42,1.17667198762168e-41,-3.82046441404914,-3.82046441404914,2.12454000800919e-05
"CPE",1195,1.86242006280371e-42,1.17761054347655e-41,0.694032901502826,0.694032901502826,0.000445221507057432
"PRRC1",1196,1.89265769670375e-42,1.19572922711485e-41,-2.11112331219812,-2.11112331219812,1.68938590747268e-05
"NDUFV3",1197,1.97105887230898e-42,1.24422062148426e-41,-1.80167372779138,-1.80167372779138,1.0654196215261e-05
"ELP3",1198,2.27064370721766e-42,1.43213554688954e-41,-2.00925022984255,-2.00925022984255,6.37556933905149e-05
"EGLN1",1199,2.69112049719083e-42,1.69592214151576e-41,-1.2587204028623,-1.2587204028623,8.42961154782904e-05
"SIN3B",1200,2.79137954579512e-42,1.75763865400232e-41,1.01130478815632,1.01130478815632,5.88000104928116e-05
"ZDHHC18",1201,2.80741396937477e-42,1.76626311012454e-41,0.852595221931408,0.852595221931408,4.30833477655187e-05
"ACAD11",1202,2.90818574817388e-42,1.828140724892e-41,-3.2036828688078,-3.2036828688078,8.08528398117342e-05
"RAB3D",1203,2.99876622369187e-42,1.88351434631886e-41,-4.115267150198,-4.115267150198,3.85422231098682e-05
"RBKS",1204,3.43278488671789e-42,2.15432911993691e-41,-1.75858873620429,-1.75858873620429,2.31212128615699e-05
"LARP1B",1205,3.52636641935779e-42,2.21122196387282e-41,-1.45486697494863,-1.45486697494863,0.000186255919715404
"AMZ2",1206,3.58326424360901e-42,2.24503686772055e-41,-1.62230751439654,-1.62230751439654,6.92982667002066e-06
"LONP2",1207,3.58850503768015e-42,2.24645766899015e-41,-0.984271354998242,-0.984271354998242,9.13445996170893e-05
"L2HGDH",1208,3.96863325355135e-42,2.48236695892666e-41,-2.58104957570798,-2.58104957570798,0.000144913086618253
"SCN2B",1209,4.69219510204466e-42,2.93252491241103e-41,-1.29875425114891,-1.29875425114891,8.24475803595162e-05
"FAM228A",1210,5.77749981651784e-42,3.60783376971973e-41,-2.55754219713808,-2.55754219713808,1.43939776724251e-05
"HDX",1211,6.00521662460649e-42,3.74693780475035e-41,1.02891640283701,1.02891640283701,0.000222511623573271
"ADCY3",1212,6.07088546759802e-42,3.78478635257186e-41,-1.53956836186452,-1.53956836186452,0.000107051633532268
"KRCC1",1213,6.3385248971755e-42,3.94838368697925e-41,-2.90020272152182,-2.90020272152182,2.87037116179288e-05
"KIF16B",1214,6.41300276371419e-42,3.99148672838754e-41,-1.52553388296959,-1.52553388296959,0.000225211280180105
"MPV17",1215,6.67801806696254e-42,4.1530127171991e-41,-1.43405478092193,-1.43405478092193,5.03806958223435e-05
"ABCG1",1216,8.03333210230652e-42,4.99176458593981e-41,-1.24735508508377,-1.24735508508377,4.25362901846821e-05
"PLEKHA2",1217,8.52771986986936e-42,5.29461391427547e-41,0.686602023311723,0.686602023311723,0.000423833103479219
"LYRM7",1218,9.25657916404541e-42,5.7424230019316e-41,-2.55305618050275,-2.55305618050275,4.02044024899824e-05
"BRINP2",1219,9.6075710528926e-42,5.95527537946323e-41,-2.19374488152043,-2.19374488152043,8.17219816518879e-05
"CSPP1",1220,9.95229233234702e-42,6.16389515272245e-41,-0.788868591546876,-0.788868591546876,0.000150387039537069
"SNTA1",1221,1.00556097804655e-41,6.22278357913166e-41,0.77689921784066,0.77689921784066,3.13605376633954e-05
"SEL1L3",1222,1.08445907251143e-41,6.70554235016067e-41,-2.80701586855532,-2.80701586855532,0.000106418086154478
"GARNL3",1223,1.14634692233806e-41,7.08241810726601e-41,-2.02191780500115,-2.02191780500115,0.000737632129382175
"TBC1D5",1224,1.15946368515354e-41,7.15760425246746e-41,-0.7524559576091,-0.7524559576091,0.0001833096841128
"KNDC1",1225,1.25148003251596e-41,7.71933316382904e-41,-2.08566863425004,-2.08566863425004,0.000222436646653546
"PRKAA2",1226,1.38332419515212e-41,8.52560980307461e-41,-2.26380138386975,-2.26380138386975,0.000291455426707056
"LRP1",1227,1.43439887353421e-41,8.83318491314142e-41,-1.1464418134555,-1.1464418134555,0.000103378023290542
"LGR4",1228,1.49123976008037e-41,9.17573911007108e-41,-1.38976437725438,-1.38976437725438,7.73789136605579e-05
"JUND",1229,1.53543145898436e-41,9.4399675379054e-41,1.16224043030601,1.16224043030601,6.9975539350165e-05
"TMEM161B",1230,1.62013670160029e-41,9.95264464820469e-41,-0.835062062398641,-0.835062062398641,3.47407880097388e-05
"ACVR1B",1231,1.81221372921716e-41,1.11235474719454e-40,-1.70539710612873,-1.70539710612873,6.37736998070302e-05
"HCN1",1232,1.94914380197045e-41,1.19543267594875e-40,1.13188408191771,1.13188408191771,0.000466402326566038
"DNAJC3",1233,1.98013971694097e-41,1.21345788330948e-40,-1.16682112001927,-1.16682112001927,8.44563692328378e-06
"SYNPO",1234,2.03051607594286e-41,1.24332086465351e-40,0.63550250221269,0.63550250221269,0.000104224291255581
"PFKL",1235,2.06834255486392e-41,1.26545719389083e-40,-1.23176289591702,-1.23176289591702,2.57539614101952e-05
"HECTD2",1236,2.20742051921095e-41,1.34945545656618e-40,0.688477419538515,0.688477419538515,4.99465885534969e-06
"ADGRB1",1237,2.24495613967115e-41,1.37129252961642e-40,0.646329175196913,0.646329175196913,6.8249190379205e-06
"PFKM",1238,2.57457986881385e-41,1.57136716387378e-40,-1.42836448412586,-1.42836448412586,2.0390792203064e-05
"NLGN3",1239,3.03434082823971e-41,1.85048259065207e-40,-1.21145042733757,-1.21145042733757,7.32479173186519e-05
"TUSC3",1240,3.17414943039768e-41,1.93418331420039e-40,-0.844330627568155,-0.844330627568155,0.000202692731633485
"NDRG3",1241,3.5495619366475e-41,2.16119983830043e-40,-0.786074827880843,-0.786074827880843,3.7660361865397e-05
"METAP1D",1242,3.81596182632566e-41,2.32153039933308e-40,-1.03342425372311,-1.03342425372311,3.22240908950914e-05
"TDO2",1243,3.84936492241549e-41,2.33996792870243e-40,-3.1753492094554,-3.1753492094554,0.000268361770675861
"FIG4",1244,4.2759674482473e-41,2.59720337933734e-40,-1.61348454337413,-1.61348454337413,0.000153352176653061
"PRCP",1245,5.07074380644114e-41,3.07747310855173e-40,-1.89930290174311,-1.89930290174311,2.41794068354277e-05
"CEP89",1246,5.29325003472233e-41,3.20993557482841e-40,-1.50500438701008,-1.50500438701008,9.33866432571518e-05
"FKBP1A",1247,5.52410859329027e-41,3.34724655420218e-40,0.66883982413378,0.66883982413378,0.000193537990429943
"PDE7A",1248,5.94821170097014e-41,3.60133714843995e-40,-0.870723421402567,-0.870723421402567,6.55548371425923e-05
"MTHFD2L",1249,5.95371085085615e-41,3.6017805595732e-40,-2.64014760952082,-2.64014760952082,0.00015125487384194
"FADS1",1250,6.57747294641507e-41,3.97595084664896e-40,-1.6815421235586,-1.6815421235586,5.595990725431e-06
"TPRKB",1251,6.63174957227951e-41,4.0055555370219e-40,-2.14348279522583,-2.14348279522583,8.34701126000229e-06
"ULK4",1252,6.79353746432018e-41,4.09999753038364e-40,-0.885864520498604,-0.885864520498604,0.000177390169474295
"VSNL1",1253,6.85762006789264e-41,4.13536929233815e-40,-1.04645080031923,-1.04645080031923,9.22702983781719e-05
"PBX4",1254,7.45949011326314e-41,4.49472944942715e-40,-2.57314723761622,-2.57314723761622,6.83489387780096e-05
"RC3H1",1255,8.1379522247722e-41,4.89963083748041e-40,-0.914020244672669,-0.914020244672669,6.01470891881394e-05
"TTF1",1256,9.12275628488851e-41,5.4881804529154e-40,-1.64685923475356,-1.64685923475356,3.07963800063689e-05
"TTC28",1257,9.18782347767249e-41,5.52292714377833e-40,-1.12748825718996,-1.12748825718996,0.000637813891542577
"NEURL1",1258,1.03400018323313e-40,6.21057661725715e-40,-0.918979966652375,-0.918979966652375,0.000209220348898399
"ATAD2B",1259,1.08337193011567e-40,6.50195258455441e-40,-0.753496107772788,-0.753496107772788,0.000114042706065344
"NQO2",1260,1.24502058327156e-40,7.46617105333325e-40,-3.11940157686415,-3.11940157686415,6.2447648057433e-05
"CLPB",1261,1.30076299868014e-40,7.7942626629875e-40,-1.16821577710083,-1.16821577710083,3.25872834041984e-05
"CHRD",1262,1.47716540613045e-40,8.8442645077034e-40,-1.50481171609439,-1.50481171609439,0.000104365588130518
"ST6GALNAC6",1263,1.6050299471345e-40,9.60222191650695e-40,-2.22923988022476,-2.22923988022476,3.35443611815134e-05
"ZNF189",1264,1.91849733356693e-40,1.14684856427466e-39,1.33396926383312,1.33396926383312,7.88047444241355e-05
"CBARP",1265,2.10114248148377e-40,1.25503814941434e-39,1.22399930118533,1.22399930118533,4.3842439274926e-05
"ALDH2",1266,2.20747609410367e-40,1.31751100845556e-39,-2.50319365172244,-2.50319365172244,4.71538793389692e-05
"FOXN3",1267,2.23393062677893e-40,1.33224781499145e-39,-0.676352370543883,-0.676352370543883,0.000451268977043633
"RANGAP1",1268,2.25022510020411e-40,1.34090700766106e-39,0.997444885995143,0.997444885995143,3.29803792258956e-05
"SLC25A40",1269,2.30542740361997e-40,1.3727194217299e-39,-2.60443684229583,-2.60443684229583,6.85074809587131e-05
"FBF1",1270,2.40296668344375e-40,1.4296705716615e-39,-1.78322532865381,-1.78322532865381,3.16982295740999e-05
"KCNQ3",1271,2.44654498545117e-40,1.4544527073225e-39,-0.635542381562461,-0.635542381562461,0.00047009896017121
"FBXW7",1272,2.84193851849953e-40,1.68818297529735e-39,0.642023389010627,0.642023389010627,0.000248786864975925
"CUL3",1273,3.11583425872265e-40,1.84942998106114e-39,0.709987725392205,0.709987725392205,0.000158688174586593
"SCG2",1274,3.33322015462872e-40,1.97690828009218e-39,0.728307387536826,0.728307387536826,3.62561172034252e-05
"GUCY1B1",1275,3.6635799060098e-40,2.17113802116157e-39,-1.01761898733092,-1.01761898733092,0.000163232774031002
"NPHP1",1276,3.74782496973848e-40,2.21932331280127e-39,-1.80390659052567,-1.80390659052567,0.000191888026229464
"ZFHX4",1277,4.18387696910125e-40,2.47559705391769e-39,-1.08401963646341,-1.08401963646341,3.47873664502455e-07
"ERLEC1",1278,4.31639565984812e-40,2.55200982831084e-39,-1.09447216925643,-1.09447216925643,4.77711771663538e-06
"DLGAP4",1279,4.70721544956496e-40,2.78090069874219e-39,0.638205725069558,0.638205725069558,0.000156957512828028
"NME7",1280,5.1676474107064e-40,3.05052686213263e-39,-0.991375187606313,-0.991375187606313,0.000152802853740062
"IKBIP",1281,5.78469256604035e-40,3.41211061896961e-39,-3.10219902410513,-3.10219902410513,1.01538864066437e-05
"HPS4",1282,5.98865298204798e-40,3.52966161718832e-39,-1.48233230250842,-1.48233230250842,7.10951179575329e-06
"SNX29",1283,6.08960573891962e-40,3.58636484515018e-39,-0.864261272388656,-0.864261272388656,0.000298770878212724
"TJP1",1284,6.5193724045272e-40,3.83647802870775e-39,-0.643983455870928,-0.643983455870928,0.000469848040192239
